i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
632,PR-0173,632.0,development,development,0.35,196.0,0.7,,,221.2,,False,207.5,218.05486779796564,210.2,221.81688152751914,0.0,6.2157907924808935,-23.79648498119163,-1.0185878037989393,0.0,1.0,1.0,1.0,10.554867797965642,11.616881527519155,6.2157907924808935
633,PR-0173,633.0,development,development,0.35,195.4,0.7,,,221.2,,False,207.8,218.15660140290572,210.2,221.82829625925532,18.000000000000682,6.182258443658059,-24.014127222701088,-1.0271633466067915,0.0,1.0,1.0,1.0,10.35660140290571,11.628296259255336,-11.817741556342623
634,PR-0173,634.0,development,development,0.35,203.8,0.7,,,221.2,,False,207.8,218.2577148994181,210.0,221.86531463309308,0.0,6.1476238477832785,-24.26422507642749,-1.0370177059255892,0.0,1.0,1.0,1.0,10.457714899418079,11.865314633093078,6.1476238477832785
635,PR-0173,635.0,development,development,0.35,207.0,0.7,,,221.2,,False,207.8,218.3582471977746,210.0,221.91797251261906,0.0,6.112918063865515,-24.525015107666924,-1.0472933585803506,0.0,1.0,1.0,1.0,10.558247197774591,11.917972512619059,6.112918063865515
636,PR-0173,636.0,development,development,0.35,208.6,0.7,,,221.2,,False,208.0,218.4582250027295,210.0,221.9439731084687,11.999999999999318,6.078643133894126,-24.789793816619113,-1.0577261731731402,0.0,1.0,1.0,1.0,10.458225002729506,11.943973108468697,-5.921356866105192
637,PR-0173,637.0,development,development,0.35,207.1,0.7,,,221.2,,False,208.0,218.55760941338733,210.0,221.951574049439,0.0,6.0439695855666375,-25.045740446583203,-1.067810986059462,0.0,1.0,1.0,1.0,10.557609413387326,11.951574049438989,6.0439695855666375
638,PR-0173,638.0,development,development,0.35,213.0,0.7,,,221.2,,False,208.0,218.65630714790342,210.0,221.97671153354037,0.0,6.007337931186334,-25.323452491715393,-1.0787534001550445,0.0,1.0,1.0,1.0,10.65630714790342,11.976711533540367,6.007337931186334
639,PR-0173,639.0,development,development,0.35,216.4,0.7,,,221.2,,False,208.2,218.75434347487428,210.0,222.0218728614069,11.999999999999318,5.969790437305845,-25.6124051446997,-1.090138716846895,0.0,1.0,1.0,1.0,10.554343474874287,12.021872861406905,-6.030209562693473
640,PR-0173,640.0,development,development,0.35,215.8,0.7,,,221.2,,False,208.2,218.85178484916563,210.2,222.04162756150563,0.0,5.932798043358387,-25.895994554394736,-1.101312710947611,0.0,1.0,1.0,1.0,10.651784849165637,11.841627561505646,5.932798043358387
641,PR-0173,641.0,development,development,0.35,215.3,0.7,,,221.2,,False,208.2,218.9485843273518,210.2,222.05056710905163,0.0,5.89534923770194,-26.17468663935996,-1.11229374058714,0.0,1.0,1.0,1.0,10.748584327351807,11.850567109051639,5.89534923770194
642,PR-0173,642.0,development,development,0.35,217.7,0.7,,,221.2,,False,208.5,219.04470384092647,210.2,222.0675246018836,18.000000000000682,5.856895710735557,-26.46048667051326,-1.1235548376271376,0.0,1.0,1.0,1.0,10.544703840926474,11.867524601883616,-12.143104289265125
643,PR-0173,643.0,development,development,0.35,215.5,0.7,,,221.2,,False,208.5,219.14020035581342,210.2,222.07824756790814,0.0,5.818764265479921,-26.734358406570443,-1.1343459358079433,0.0,1.0,1.0,1.0,10.64020035581342,11.878247567908147,5.818764265479921
644,PR-0173,644.0,development,development,0.35,215.8,0.7,,,221.2,,False,208.5,219.2350629458808,210.2,222.08864877525681,0.0,5.780661607048766,-27.00672828364677,-1.1450778577190488,0.0,1.0,1.0,1.0,10.735062945880799,11.888648775256826,5.780661607048766
645,PR-0173,645.0,development,development,0.35,215.2,0.7,,,221.2,,False,208.8,219.3293054736044,210.2,222.09955653834982,18.000000000000682,5.74282862395883,-27.2739007451929,-1.1556049909868273,0.0,1.0,1.0,1.0,10.529305473604381,11.899556538349827,-12.257171376041853
646,PR-0173,646.0,development,development,0.31,215.4,0.7,,,221.2,,False,208.8,219.42283062856458,210.2,222.08553729070093,0.0,5.703432826054602,-27.57922605437672,-1.1676354233195727,0.0,1.0,1.0,1.0,10.622830628564571,11.885537290700938,5.703432826054602
